"Date","Industry","Value"
2011-10-01,"Discount department stores",0.9716
2011-11-01,"Discount department stores",0.9751
2011-12-01,"Discount department stores",0.9793
2012-01-01,"Discount department stores",0.9844
2012-02-01,"Discount department stores",0.9732
2012-03-01,"Discount department stores",0.9563
2012-04-01,"Discount department stores",0.9501
2012-05-01,"Discount department stores",0.9412
2012-06-01,"Discount department stores",0.9246
2012-07-01,"Discount department stores",0.9102
2012-08-01,"Discount department stores",0.8984
2012-09-01,"Discount department stores",0.8853
2012-10-01,"Discount department stores",0.8751
2012-11-01,"Discount department stores",0.8704
2012-12-01,"Discount department stores",0.8552
2013-01-01,"Discount department stores",0.8335
2013-02-01,"Discount department stores",0.8171
2013-03-01,"Discount department stores",0.8031
2013-04-01,"Discount department stores",0.8058
2013-05-01,"Discount department stores",0.8121
2013-06-01,"Discount department stores",0.8148
2013-07-01,"Discount department stores",0.8172
2013-08-01,"Discount department stores",0.8212
2013-09-01,"Discount department stores",0.8256
2013-10-01,"Discount department stores",0.8287
2013-11-01,"Discount department stores",0.8301
2013-12-01,"Discount department stores",0.8266
2014-01-01,"Discount department stores",0.8271
2014-02-01,"Discount department stores",0.8299
2014-03-01,"Discount department stores",0.8277
2014-04-01,"Discount department stores",0.8279
2014-05-01,"Discount department stores",0.8316
2014-06-01,"Discount department stores",0.832
2014-07-01,"Discount department stores",0.8354
2014-08-01,"Discount department stores",0.8368
2014-09-01,"Discount department stores",0.8368
2014-10-01,"Discount department stores",0.8393
2014-11-01,"Discount department stores",0.8386
2014-12-01,"Discount department stores",0.8382
2015-01-01,"Discount department stores",0.8366
2015-02-01,"Discount department stores",0.8378
2015-03-01,"Discount department stores",0.8393
2015-04-01,"Discount department stores",0.841
2015-05-01,"Discount department stores",0.8379
2015-06-01,"Discount department stores",0.8371
2015-07-01,"Discount department stores",0.8376
2015-08-01,"Discount department stores",0.8356
2015-09-01,"Discount department stores",0.8346
2015-10-01,"Discount department stores",0.8336
2015-11-01,"Discount department stores",0.833
2015-12-01,"Discount department stores",0.8337
2016-01-01,"Discount department stores",0.8361
2016-02-01,"Discount department stores",0.836
2016-03-01,"Discount department stores",0.8371
2016-04-01,"Discount department stores",0.8368
2016-05-01,"Discount department stores",0.8366
2016-06-01,"Discount department stores",0.8373
2016-07-01,"Discount department stores",0.8352
2016-08-01,"Discount department stores",0.8357
2016-09-01,"Discount department stores",0.8374
2016-10-01,"Discount department stores",0.8402
2016-11-01,"Discount department stores",0.8304
2016-12-01,"Discount department stores",0.8329
2017-01-01,"Discount department stores",0.8208
2017-02-01,"Discount department stores",0.8198
2017-03-01,"Discount department stores",0.8083
1990-01-01,"Warehouse clubs and supercenters",0.6556
1990-02-01,"Warehouse clubs and supercenters",0.6515
1990-03-01,"Warehouse clubs and supercenters",0.6536
1990-04-01,"Warehouse clubs and supercenters",0.6556
1990-05-01,"Warehouse clubs and supercenters",0.6545
1990-06-01,"Warehouse clubs and supercenters",0.6539
1990-07-01,"Warehouse clubs and supercenters",0.655
1990-08-01,"Warehouse clubs and supercenters",0.6528
1990-09-01,"Warehouse clubs and supercenters",0.6522
