"Date","Industry","Value"
2011-10-01,"Warehousing and storage",0.6603
2011-11-01,"Warehousing and storage",0.6609
2011-12-01,"Warehousing and storage",0.665
2012-01-01,"Warehousing and storage",0.6681
2012-02-01,"Warehousing and storage",0.6715
2012-03-01,"Warehousing and storage",0.6739
2012-04-01,"Warehousing and storage",0.6778
2012-05-01,"Warehousing and storage",0.6833
2012-06-01,"Warehousing and storage",0.6862
2012-07-01,"Warehousing and storage",0.6887
2012-08-01,"Warehousing and storage",0.6916
2012-09-01,"Warehousing and storage",0.6956
2012-10-01,"Warehousing and storage",0.6985
2012-11-01,"Warehousing and storage",0.7015
2012-12-01,"Warehousing and storage",0.7071
2013-01-01,"Warehousing and storage",0.7049
2013-02-01,"Warehousing and storage",0.7026
2013-03-01,"Warehousing and storage",0.705
2013-04-01,"Warehousing and storage",0.7044
2013-05-01,"Warehousing and storage",0.7031
2013-06-01,"Warehousing and storage",0.7047
2013-07-01,"Warehousing and storage",0.7074
2013-08-01,"Warehousing and storage",0.7122
2013-09-01,"Warehousing and storage",0.7191
2013-10-01,"Warehousing and storage",0.7197
2013-11-01,"Warehousing and storage",0.7227
2013-12-01,"Warehousing and storage",0.7237
2014-01-01,"Warehousing and storage",0.7236
2014-02-01,"Warehousing and storage",0.7273
2014-03-01,"Warehousing and storage",0.7316
2014-04-01,"Warehousing and storage",0.7346
2014-05-01,"Warehousing and storage",0.7417
2014-06-01,"Warehousing and storage",0.7482
2014-07-01,"Warehousing and storage",0.7541
2014-08-01,"Warehousing and storage",0.7585
2014-09-01,"Warehousing and storage",0.7616
2014-10-01,"Warehousing and storage",0.7639
2014-11-01,"Warehousing and storage",0.7705
2014-12-01,"Warehousing and storage",0.7738
2015-01-01,"Warehousing and storage",0.781
2015-02-01,"Warehousing and storage",0.7925
2015-03-01,"Warehousing and storage",0.7975
2015-04-01,"Warehousing and storage",0.8037
2015-05-01,"Warehousing and storage",0.8121
2015-06-01,"Warehousing and storage",0.8228
2015-07-01,"Warehousing and storage",0.8343
2015-08-01,"Warehousing and storage",0.841
2015-09-01,"Warehousing and storage",0.8493
2015-10-01,"Warehousing and storage",0.8598
2015-11-01,"Warehousing and storage",0.8671
2015-12-01,"Warehousing and storage",0.88
2016-01-01,"Warehousing and storage",0.8862
2016-02-01,"Warehousing and storage",0.8921
2016-03-01,"Warehousing and storage",0.898
2016-04-01,"Warehousing and storage",0.9053
2016-05-01,"Warehousing and storage",0.9104
2016-06-01,"Warehousing and storage",0.913
2016-07-01,"Warehousing and storage",0.916
2016-08-01,"Warehousing and storage",0.9207
2016-09-01,"Warehousing and storage",0.926
2016-10-01,"Warehousing and storage",0.9317
2016-11-01,"Warehousing and storage",0.9396
2016-12-01,"Warehousing and storage",0.9428
2017-01-01,"Warehousing and storage",0.9474
2017-02-01,"Warehousing and storage",0.9459
2017-03-01,"Warehousing and storage",0.9462
2017-04-01,"Warehousing and storage",0.9487
1939-01-01,"U.S. Postal Service",0.3159
1939-02-01,"U.S. Postal Service",0.3153
1939-03-01,"U.S. Postal Service",0.314
1939-04-01,"U.S. Postal Service",0.3168
1939-05-01,"U.S. Postal Service",0.3153
1939-06-01,"U.S. Postal Service",0.3172
1939-07-01,"U.S. Postal Service",0.3195
1939-08-01,"U.S. Postal Service",0.3198
1939-09-01,"U.S. Postal Service",0.3205
